id,market,price,signedChangeRate,accTradePrice24h,accTradeVolume24h,rankByChangeRate,rankByTradeValue,timestamp
2056076,KRW-ORBS,12.7,-0.0230769231,282930478.6501558,22211195.28457358,59,225,1778889061088
2056077,KRW-RENDER,2798.0,-0.0028510335,2580835733.301419,932971.38503473,24,73,1778889061088
2056078,KRW-ORCA,2190.0,0.020979021,3488225009.7763367,1632639.61478493,10,61,1778889061088
2056079,KRW-BERA,551.0,-0.0862354892,3874973410.133787,6769066.76679706,253,53,1778889061088
2056080,KRW-SIGN,22.2,-0.0632911392,4103839152.091042,180434428.91483107,225,52,1778889061088
2056081,KRW-VANA,2261.0,-0.0199393151,720073841.2171923,313699.36773492,52,162,1778889061088
2056082,KRW-DOT,1960.0,-0.0263288624,1090343056.7808821,549674.36199829,71,126,1778889061088
2056083,KRW-EDGE,153.0,-0.0129032258,842047708.6107067,5423600.80731354,35,149,1778889061088
2056084,KRW-MET2,230.0,-0.029535865,216395042.93324316,929352.35088204,86,242,1778889061088
2056085,KRW-MBL,1.4,-0.0277777778,1030845570.7916741,736493637.7929194,78,129,1778889061088
2056086,KRW-FLUID,2408.0,-0.062305296,595714326.5484738,232717.59655697,221,179,1778889061088
2056087,KRW-BIGTIME,19.5,-0.0441176471,678294891.9580206,34323039.77151942,154,167,1778889061088
2056088,KRW-SNT,14.9,-0.0197368421,453330137.43075377,30158384.0453012,51,199,1778889061088
2056089,KRW-SOL,132900.0,-0.0249449743,31590437971.597034,234678.58152638,63,12,1778889061088
2056090,KRW-QKC,4.56,-0.0379746835,120392635.7549329,26243650.90339752,131,258,1778889061088
2056091,KRW-META,14.2,-0.0405405405,234969239.0468255,16306558.93543867,138,239,1778889061088
2056092,KRW-IRYS,91.1,-0.1155339806,147593992110.93466,1374621084.9809215,258,3,1778889061088
2056093,KRW-SAHARA,55.8,0.0145454545,37167724110.77186,650531020.7097849,14,9,1778889061088
2056094,KRW-MLK,76.3,-0.0329531052,310813522.51255804,4024727.77517551,103,221,1778889061088
2056095,KRW-VTHO,0.815,-0.0512223516,1108893283.577728,1319894946.3318956,185,125,1778889061088
2056096,KRW-KITE,310.0,-0.0251572327,9361253999.892414,29696829.87264395,65,24,1778889061088
2056097,KRW-MINA,90.5,-0.0660474716,603382342.4637154,6515667.40632749,229,178,1778889061088
2056098,KRW-MMT,188.0,-0.0552763819,481201202.3824592,2507387.45719136,201,195,1778889061088
2056099,KRW-CHIP,85.1,-0.0533926585,9403352770.77284,106783626.67788523,195,23,1778889061088
2056100,KRW-ZORA,17.8,-0.0582010582,2033860776.7486236,112743663.53603849,213,88,1778889061088
2056101,KRW-XCN,7.43,-0.0158940397,12026697669.608793,1544295976.2922256,41,19,1778889061088
2056102,KRW-GAS,2399.0,-0.0404,1124400590.3870795,462767.6832563,137,124,1778889061088
2056103,KRW-MEGA,150.0,-0.0384615385,6656826190.667376,44339856.20102359,133,31,1778889061088
2056104,KRW-MNT,990.0,-0.0360272639,438320293.7911768,431968.88002259,119,204,1778889061088
2056105,KRW-MOC,40.7,-0.0169082126,142815112.5132233,3486547.61490844,43,255,1778889061088
2056106,KRW-MOODENG,81.7,-0.0576701269,1820078772.7734442,21811125.41647849,210,94,1778889061088
2056107,KRW-XEC,0.0114,-0.0420168067,1679180788.3671517,144757317645.60205,145,101,1778889061088
2056108,KRW-MON,42.2,-0.0409090909,2383017102.66207,56149841.8739882,142,77,1778889061088
2056109,KRW-ZIL,5.99,-0.0338709677,664053736.4673367,109490599.2023062,112,169,1778889061088
2056110,KRW-GAME2,2.02,-0.0194174757,196458559.40391958,97050286.28549416,50,248,1778889061088
2056111,KRW-STX,373.0,-0.0604534005,4493175365.033287,11746469.73117041,219,44,1778889061088
2056112,KRW-FLOCK,99.0,0.043203372,5114350252.053313,53220387.40449533,5,41,1778889061088
2056113,KRW-PROVE,370.0,-0.0439276486,168290698.60498917,446107.39562736,153,252,1778889061088
2056114,KRW-BSV,23580.0,-0.0445705024,988587307.4520109,41451.86090185,158,135,1778889061088
2056115,KRW-SUI,1634.0,-0.0689458689,23825231887.245087,14196096.98987241,235,15,1778889061088
2056116,KRW-SYRUP,334.0,-0.0564971751,325478745.4571979,949417.39478807,204,219,1778889061088
2056117,KRW-BTC,117736000.0,-0.0176223216,187500051878.8146,1577.14730896,45,2,1778889061088
2056118,KRW-HOLO,109.0,-0.018018018,1780769381.6791322,16106948.83651782,46,96,1778889061088
2056119,KRW-MIRA,117.0,-0.0487804878,931753407.5773865,7857907.71791048,177,140,1778889061088
2056120,KRW-SUN,29.2,-0.0068027211,191662357.68599007,6583640.21221637,26,249,1778889061088
2056121,KRW-ZBT,234.0,0.0833333333,10217004911.22915,45311735.44680215,3,21,1778889061088
2056122,KRW-ONG,98.7,-0.06,633818928.7807199,6343497.33706664,216,172,1778889061088
2056123,KRW-BTT,0.00048,-0.0143737166,933743149.0951363,1941492730173.6804,38,139,1778889061088
2056124,KRW-ENSO,1257.0,-0.0448328267,2213055993.8624125,1740099.72575691,159,80,1778889061088
2056125,KRW-BIRB,195.0,-0.0201005025,459774687.21534824,2347842.16650676,53,198,1778889061088
2056126,KRW-ONT,87.7,-0.0498374865,1414861068.0648403,15767614.86194021,180,112,1778889061088
2056127,KRW-SOMI,249.0,-0.0496183206,391157730.3322128,1543051.98729203,179,209,1778889061088
2056128,KRW-DEEP,50.5,-0.0578358209,995464166.7260561,19416707.90593534,211,134,1778889061088
2056129,KRW-STRAX,19.3,-0.035,376823543.247964,19253321.46753484,116,212,1778889061088
2056130,KRW-ICP,3893.0,-0.060115886,1966722169.1425397,486201.76899595,218,92,1778889061088
2056131,KRW-BREV,176.0,-0.0434782609,1012839100.7219136,5556589.22605336,152,131,1778889061088
2056132,KRW-ICX,55.2,-0.044982699,248774574.1803648,4413000.52497651,161,237,1778889061088
2056133,KRW-POLYX,82.3,0.0223602484,54993589642.03403,616765629.7419779,8,6,1778889061088
2056134,KRW-WAXP,9.74,-0.0356435644,215329018.25682187,21930716.73362646,118,243,1778889092494
2056135,KRW-CARV,86.7,-0.0616883117,1273832447.6187134,14242609.72321352,222,117,1778889092494
2056136,KRW-LSK,183.0,-0.0368421053,442508354.48928875,2386157.91594751,125,203,1778889092494
2056137,KRW-0G,759.0,-0.0698529412,1413906528.7099555,1787998.45152365,237,113,1778889092494
2056138,KRW-WIF,303.0,-0.0676923077,1035004916.6351814,3295892.20063286,233,128,1778889092494
2056139,KRW-BORA,53.4,-0.021978022,552559041.1099797,10268206.37118901,56,188,1778889092494
2056140,KRW-PUNDIX,220.0,-0.0308370044,211796448.07512528,953798.20456977,95,244,1778889092494
2056141,KRW-PROS,1067.0,-0.0273473108,34676103097.49223,30149622.92624878,76,10,1778889092494
2056142,KRW-USD1,1489.0,0.0060810811,162852198.7403638,109682.84894641,21,253,1778889092494
2056143,KRW-BAT,150.0,-0.0384615385,260913909.00846982,1715490.90291565,132,234,1778889092494
2056144,KRW-HUNT,152.0,-0.0256410256,271809461.334371,1776298.67203159,67,232,1778889092494
2056145,KRW-PENGU,13.1,-0.0296296296,3626606405.2172904,275123994.1471706,87,57,1778889092494
2056146,KRW-FIL,1508.0,-0.0320924262,1979928487.0669048,1304513.50112215,100,90,1778889092494
2056147,KRW-BEAM,2.75,-0.0316901408,275563953.73188,98668412.28875507,98,229,1778889092494
2056148,KRW-DOOD,4.2,-0.0561797753,1265264119.6619794,293611167.83563924,203,118,1778889092494
2056149,KRW-WAVES,613.0,0.0065681445,1189174492.0804996,1961409.96869918,20,121,1778889092494
2056150,KRW-USDC,1487.0,0.0074525745,1048185441.8159508,705942.23688957,18,127,1778889092494
2056151,KRW-MOVE,26.2,-0.0507246377,1952972478.24535,73087432.53054754,182,93,1778889092494
2056152,KRW-TREE,97.4,-0.054368932,1568240898.0144486,15734687.05091539,198,107,1778889092494
2056153,KRW-USDE,1485.0,0.0047361299,44784982.99075353,30161.22595245,22,260,1778889092494
2056154,KRW-AERGO,80.5,-0.0098400984,670877194.7909769,8363167.14936575,29,168,1778889092494
2056155,KRW-WET,123.0,-0.0820895522,952036557.0915023,7449642.96265691,252,138,1778889092494
2056156,KRW-USDT,1488.0,0.0067658999,104328402458.56458,70287560.73304275,19,5,1778889092494
2056157,KRW-USDS,1485.0,0.0102040816,120496499.79662353,81120.92434323,17,258,1778889092494
2056158,KRW-2Z,138.0,-0.1038961039,801123177.5142432,5526733.39511036,256,152,1778889092494
2056159,KRW-BOUNTY,30.7,-0.0495356037,447739247.53342396,14359555.7105832,178,200,1778889092494
2056160,KRW-KAITO,661.0,-0.039244186,1663298433.5281484,2382316.23519172,136,104,1778889092494
2056161,KRW-LPT,3151.0,-0.0366860287,365392068.8628006,114421.17580923,123,214,1778889092494
2056162,KRW-BLAST,0.699,-0.0476839237,702234183.9420726,986378053.393926,174,164,1778889092494
2056163,KRW-ETHFI,610.0,-0.0715372907,872220774.2525156,1380679.43618085,241,144,1778889092494
2056164,KRW-DKA,8.73,-0.0256696429,858540102.3641459,97177919.46864119,68,147,1778889092494
2056165,KRW-ANKR,7.33,-0.0239680426,787289992.9374291,107389128.8070486,63,155,1778889092494
2056166,KRW-ALGO,168.0,-0.0454545455,1672488627.6480515,9775426.35619763,162,103,1778889092494
2056167,KRW-SHIB,0.00911,-0.0329087049,6453038030.291902,699040770398.2842,103,32,1778889092494
2056168,KRW-UNI,5360.0,-0.0263396912,1768687648.296547,326327.20677108,72,97,1778889092494
2056169,KRW-BIO,62.3,-0.0729166667,9963868841.998013,151436358.3990514,244,22,1778889092494
2056170,KRW-WLFI,98.2,-0.037254902,3388963606.428035,33698266.95308714,127,63,1778889092494
2056171,KRW-UP2,224.0,-0.1215686275,16645431212.19825,70231126.8847374,260,17,1778889092494
2056172,KRW-TOKAMAK,824.0,-0.0108043217,1318030551.5848234,1601954.00258159,30,115,1778889092494
2056173,KRW-SKY,105.0,-0.0277777778,273051905.5767128,2545972.04664691,78,231,1778889092494
2056174,KRW-CYBER,770.0,-0.038701623,526795587.77697796,677935.49385963,135,191,1778889092494
2056175,KRW-SKR,23.2,-0.0333333333,238801429.92390826,10287935.64641682,107,238,1778889092494
2056176,KRW-DOGE,168.0,-0.0117647059,44577836355.53732,263220215.4257021,32,8,1778889092494
2056177,KRW-WLD,365.0,-0.0568475452,4283771263.539512,11583320.42104439,209,46,1778889092494
2056178,KRW-PEPE,0.00582,-0.0364238411,2950892306.5527086,499602141877.7288,121,67,1778889092494
2056179,KRW-HBAR,138.0,-0.0142857143,3190591576.0862865,22986730.20843584,36,65,1778889092494
2056180,KRW-BCH,636000.0,-0.0116550117,2563306633.01224,4009.57929975,31,74,1778889092494
2056181,KRW-NEWT,114.0,-0.05,588504159.6976186,5084295.87057909,181,180,1778889092494
2056182,KRW-SEI,94.7,-0.0463242699,4260883847.34631,44103205.73023815,168,48,1778889092494
2056183,KRW-BONK,0.00971,-0.0386138614,1551064177.514561,156472431563.11212,134,108,1778889092494
2056184,KRW-JST,136.0,0.0149253731,545965662.5896773,4046797.65016741,12,189,1778889092494
2056185,KRW-AAVE,138300.0,-0.0475206612,4131194691.166104,29235.16766527,173,51,1778889092494
2056186,KRW-JTO,671.0,-0.1182654402,4556394170.96504,6251578.54658158,259,43,1778889092494
2056187,KRW-JUP,314.0,-0.0513595166,769661401.0682182,2411505.48218928,187,156,1778889092494
2056188,KRW-VVV,20600.0,-0.0528735632,4682679131.300593,225009.7230809,193,42,1778889092494
2056189,KRW-PIEVERSE,1477.0,0.0116438356,32917024456.39142,22422546.37616036,16,11,1778889092494
2056190,KRW-ALT,10.3,-0.0636363636,402247487.5294498,38057470.4508613,225,208,1778889092494
2056191,KRW-B3,1.6,-0.0697674419,7074946355.697998,4354732587.858979,236,29,1778889092494
2056192,KRW-LAYER,143.0,-0.0337837838,3789067000.5278707,26483799.69182808,110,55,1778889092494
2056193,KRW-TRX,524.0,0.0019120459,2764279216.5607553,5285566.86913012,23,71,1778889092494
2056194,KRW-POWR,96.5,-0.0082219938,894460242.1094477,9144136.78523668,27,143,1778889092494
2056195,KRW-ATOM,2876.0,-0.0479973519,728790698.2624421,248065.16949054,175,160,1778889092494
2056196,KRW-ARKM,187.0,-0.065,582049514.2064983,3021772.88353597,227,182,1778889092494
2056197,KRW-CRO,108.0,-0.0442477876,2109834141.7060497,18957381.76783953,155,85,1778889092494
2056198,KRW-NXPC,504.0,-0.0508474576,685991680.8363047,1329281.42772314,183,166,1778889092494
2056199,KRW-A,129.0,-0.0514705882,626404378.4051689,4756589.76327884,188,175,1778889092494
2056200,KRW-TRUMP,3345.0,-0.0472799772,6131615460.338424,1799807.6043703,169,34,1778889092494
2056201,KRW-F,8.17,-0.0422039859,384525868.66700715,46172597.98319486,146,210,1778889092494
2056202,KRW-G,5.5,-0.0367775832,376443700.51965314,67986203.3510552,124,213,1778889092494
2056203,KRW-CELO,133.0,-0.0220588235,705965753.1195505,5311720.09032324,57,163,1778889092494
2056204,KRW-AERO,665.0,-0.0699300699,232660719.93072066,339459.14825083,238,240,1778889092494
2056205,KRW-CTC,223.0,-0.0304347826,726746082.0467497,3236944.04509815,92,161,1778889092494
2056206,KRW-ANIME,6.82,-0.0407876231,862688396.151595,125282205.72517927,139,145,1778889092494
2056207,KRW-APT,1471.0,-0.0540192926,2764110876.317027,1841894.44698871,197,72,1778889092494
2056208,KRW-MOCA,20.7,-0.0547945205,498849712.0766126,24076110.70754005,200,193,1778889092494
2056209,KRW-API3,518.0,-0.0442804428,1004559208.0844547,1896530.3555063,156,133,1778889092494
2056210,KRW-AHT,2.27,-0.0299145299,161626449.12502,70415171.64510176,89,254,1778889092494
2056211,KRW-EGLD,6240.0,-0.0523917995,295015486.87292343,46481.15358627,192,223,1778889092494
2056212,KRW-BLEND,166.0,-0.0674157303,2783898110.026238,16419447.24761544,232,69,1778889092494
2056213,KRW-ERA,198.0,-0.0434782609,278461012.2327542,1393107.15036217,150,227,1778889092494
2056214,KRW-FF,132.0,0.1379310345,29157758542.574467,223164610.16930526,2,13,1778889092494
2056215,KRW-PLUME,18.1,-0.0670103093,1610588779.9765935,86629848.95636961,231,106,1778889092494
2056216,KRW-ESP,112.0,0.046728972,2298986460.4641466,20667787.07942853,4,79,1778889092494
2056217,KRW-CC,235.0,-0.0289256198,1726744514.9077485,7102172.46510163,85,98,1778889092494
2056218,KRW-NEO,4439.0,-0.0422869471,852271359.8805099,188852.3733744,148,148,1778889092494
2056219,KRW-ETC,13790.0,-0.0142959257,2774200750.6037555,202273.45458533,37,70,1778889092494
2056220,KRW-IOTA,86.4,-0.0629067245,793760075.4450064,8901852.64142596,224,153,1778889092494
2056221,KRW-IOST,1.64,-0.0574712644,310069577.29253745,189059783.13562348,210,222,1778889092494
2056222,KRW-AKT,1092.0,-0.0745762712,3519012755.6997285,3036041.11285514,247,58,1778889092494
2056223,KRW-COW,264.0,-0.0434782609,202749628.96175456,761815.56485655,151,245,1778889092494
2056224,KRW-VIRTUAL,1117.0,-0.0329004329,9297626303.918934,8147811.62494049,102,25,1778889092494
2056225,KRW-ETH,3309000.0,-0.0189742069,109105912035.54222,32746.32219342,48,4,1778889092494
2056226,KRW-IQ,1.63,-0.0297619048,273225834.34013355,166660499.5585401,88,230,1778889092494
2056227,KRW-IP,749.0,-0.0554854981,6837909769.221872,8900394.48252402,202,30,1778889092494
2056228,KRW-NEAR,2297.0,-0.0124677558,5435929340.953014,2362314.44582844,33,39,1778889092494
2056229,KRW-RVN,8.45,-0.0408626561,574307940.2900615,66581781.98447283,141,184,1778889092494
2056230,KRW-PRL,328.0,-0.115902965,2517512017.7158165,7331946.322483,258,75,1778889092494
2056231,KRW-AGLD,362.0,-0.0694087404,628306710.2835475,1684211.3640274,235,174,1778889092494
2056232,KRW-ID,46.7,-0.0546558704,984705109.2016706,20830326.70035007,199,136,1778889092494
2056233,KRW-IN,89.8,-0.0517423442,529326884.5358201,5802481.20073529,189,190,1778889092494
2056234,KRW-MANTRA,15.0,-0.0566037736,1472017554.6264534,95324406.82657845,206,109,1778889092494
2056235,KRW-WAL,112.0,-0.0743801653,606704832.5113336,5310772.10457307,246,176,1778889092494
2056236,KRW-PENDLE,2940.0,-0.0147453083,2337628180.604366,777709.12296534,40,78,1778889092494
2056237,KRW-BLUR,36.2,-0.0473684211,1265192079.0903647,34664876.41447899,170,119,1778889092494
2056238,KRW-AWE,83.0,0.0146699267,1461012840.1654322,17429857.53955043,13,110,1778889092494
2056239,KRW-THETA,318.0,-0.056379822,585881070.0874159,1809374.66232134,204,181,1778889092494
2056240,KRW-AXL,95.0,-0.0306122449,2125085401.3449268,21834339.09056586,93,84,1778889092494
2056241,KRW-HP,24.6,-0.0716981132,4395559498.202222,174624138.55072802,242,45,1778889092494
2056242,KRW-SAND,111.0,-0.0512820513,3478098300.0144897,30770967.67743696,186,62,1778889092494
2056243,KRW-WCT,92.4,-0.0474226804,1162224272.3636727,12354020.82192432,171,122,1778889092494
2056244,KRW-YGG,58.5,-0.0669856459,356152010.515259,5831965.3851948,230,217,1778889092494
2056245,KRW-AXS,1786.0,-0.0449197861,2436805248.677537,1339257.87079502,160,76,1778889092494
2056246,KRW-ARDR,61.2,-0.0331753555,499859363.4484096,8109916.44083099,106,192,1778889092494
2056247,KRW-AQT,796.0,-0.0257037944,412053778.3680596,515388.09630782,70,207,1778889092494
2056248,KRW-ME,161.0,-0.0301204819,1198483839.5928352,7296470.37098715,91,120,1778889092494
2056249,KRW-TRUST,102.0,-0.0377358491,899901310.9176401,8783048.38444307,130,142,1778889092494
2056250,KRW-SONIC,61.4,-0.0668693009,4232021522.7585483,67258685.96547815,229,50,1778889092494
2056251,KRW-ARB,186.0,-0.0461538462,1676937067.7258162,8883935.0660954,166,102,1778889092494
2056252,KRW-POL,136.0,-0.0285714286,2139784928.8677049,15627489.12062591,81,83,1778889092494
2056253,KRW-CVC,46.0,-0.0233545648,6441451315.595579,131769217.31963927,61,33,1778889092494
2056254,KRW-T,8.71,-0.0300668151,356559068.68627435,40476959.31712898,90,216,1778889092494
2056255,KRW-W,19.6,-0.0798122066,3286901607.749018,163474629.643708,251,64,1778889092494
2056256,KRW-ARK,254.0,-0.0378787879,750301586.2058792,2923271.65424444,131,157,1778889092494
2056257,KRW-AVNT,215.0,-0.0444444444,2053669856.563275,9476926.23371541,157,87,1778889092494
2056258,KRW-LA,195.0,-0.0487804878,2056547291.0933619,10150518.80342055,176,86,1778889092494
2056259,KRW-HYPER,164.0,-0.0238095238,793024224.2081536,4777741.07785648,62,154,1778889092494
2056260,KRW-ATH,9.13,-0.0721544715,3496141999.8608184,370699948.55554205,243,60,1778889092494
2056261,KRW-TAIKO,168.0,-0.0344827586,555306696.5110668,3267047.55491423,113,187,1778889092494
2056262,KRW-AVAX,14190.0,-0.0307377049,4247108989.3505335,295692.04504209,94,49,1778889092494
2056263,KRW-XAUT,6756000.0,-0.0171661333,1695522895.2182,249.552411,44,100,1778889092494
2056264,KRW-CPOOL,50.4,-0.0579439252,3504819383.2214837,68399989.94159028,213,59,1778889092494
2056265,KRW-IMX,276.0,-0.0769230769,3796988198.0696425,13034256.03537719,248,54,1778889092494
2056266,KRW-SC,1.41,-0.0208333333,444312527.2273631,312271075.8206942,55,202,1778889092494
2056267,KRW-INJ,7310.0,-0.0406824147,5639957182.317502,753976.62917305,138,36,1778889092494
2056268,KRW-MVL,1.93,-0.0203045685,107035459.81447358,55515483.29058598,54,259,1778889092494
2056269,KRW-HIVE,91.2,-0.0410094637,700681994.7164085,7607809.48437087,143,165,1778889092494
2056270,KRW-CBK,372.0,-0.03125,226020080.0562653,599271.21058142,96,241,1778889092494
2056271,KRW-XLM,231.0,-0.0375,14445635301.71181,61522924.14098671,129,18,1778889092494
2056272,KRW-OP,204.0,-0.0511627907,268509286.33148617,1303478.0203105,184,233,1778889092494
2056273,KRW-SAFE,211.0,-0.0365296804,138352637.4288198,642397.32728387,122,256,1778889092494
2056274,KRW-GLM,213.0,-0.0046728972,477730382.7911192,2275351.97432643,25,197,1778889092494
2056275,KRW-SUPER,183.0,-0.0518134715,429527157.93134946,2289299.88619012,191,206,1778889092494
2056276,KRW-LINEA,5.41,-0.0458553792,1030032043.8531916,185301149.60360706,165,130,1778889092494
2056277,KRW-KERNEL,101.0,0.0222672065,4267073974.901995,40543775.12075649,9,47,1778889092494
2056278,KRW-POKT,16.9,-0.0287356322,573150373.3182802,33566242.73968473,84,185,1778889092494
2056279,KRW-SENT,23.2,-0.0333333333,491941728.7672581,20661278.02193607,108,194,1778889092494
2056280,KRW-ZKC,107.0,-0.0530973451,648695997.180411,5957705.37554754,194,171,1778889092494
2056281,KRW-KNC,211.0,-0.0321100917,663153101.6120077,3094653.12098832,101,170,1778889092494
2056282,KRW-ZKP,110.0,-0.0265486726,980598536.0015358,8610924.58561531,74,137,1778889092494
2056283,KRW-AUCTION,7150.0,-0.0165061898,323909396.2359534,45136.57146669,42,220,1778889092494
2056284,KRW-ORDER,81.5,-0.0227817746,737199532.5901148,8937798.06834829,59,158,1778889092494
2056285,KRW-DRIFT,73.1,0.0383522727,47468413829.88909,620596036.3417078,6,7,1778889092494
2056286,KRW-FCT2,18.1,-0.0320855615,200349610.9709721,10925979.83234371,99,246,1778889092494
2056287,KRW-MTL,457.0,-0.0193133047,187563701.49802074,407887.56113095,49,251,1778889092494
2056288,KRW-VET,10.4,-0.037037037,1648101646.8905413,154571994.7675485,126,105,1778889092494
2056289,KRW-TAO,424400.0,-0.0566792621,3015202112.77172,6898.47386179,208,66,1778889092494
2056290,KRW-QTUM,1384.0,-0.0455172414,860250068.9874923,607686.9242215,163,146,1778889092494
2056291,KRW-TT,1.3,-0.022556391,200015198.51541626,153522890.57681677,58,247,1778889092494
2056292,KRW-LINK,14970.0,-0.0329457364,7248769187.93744,477843.92393711,104,28,1778889092494
2056293,KRW-XRP,2137.0,-0.0255357957,191894175056.40973,88336850.89556167,66,1,1778889092494
2056294,KRW-CHZ,67.7,0.0335877863,6101205021.481057,92007055.67782828,7,35,1778889092494
2056295,KRW-ASTR,12.9,-0.0152671756,734236387.528086,56111949.52751734,41,159,1778889092494
2056296,KRW-ZK,24.7,-0.0714285714,840041053.92157,33404124.3554115,240,150,1778889092494
2056297,KRW-STORJ,204.0,0.275,17414866415.1536,89217916.86473686,1,16,1778889092494
2056298,KRW-ENA,165.0,-0.0782122905,5574047106.400835,32428472.65968176,249,37,1778889092494
2056299,KRW-MANA,136.0,-0.0422535211,383409748.40684867,2766212.81678065,147,211,1778889092494
2056300,KRW-OPEN,266.0,-0.0184501845,1976636853.303978,7373486.20703329,47,91,1778889092494
2056301,KRW-PYTH,69.4,-0.0734312417,1358102952.326074,19071547.46137756,245,114,1778889092494
2056302,KRW-ENS,10040.0,-0.0419847328,2924241089.6415086,287575.6635857,144,68,1778889092494
2056303,KRW-GRT,40.0,-0.0314769976,1313948073.7224417,32129006.56001203,97,116,1778889092494
2056304,KRW-PUMP,2.67,-0.0430107527,566602146.1231542,208213871.57700568,149,186,1778889092494
2056305,KRW-XTZ,543.0,-0.0286225403,191029022.29044852,348409.39897224,82,250,1778889092494
2056306,KRW-CKB,2.27,-0.0462184874,478988497.951611,208712694.3427602,167,195,1778889092494
2056307,KRW-KAVA,88.3,-0.0535905681,7741815046.46983,80900079.41370106,196,27,1778889092494
2056308,KRW-TOSHI,0.271,-0.0355871886,435492792.7858873,1560113785.023693,117,205,1778889092494
2056309,KRW-BARD,391.0,-0.0273631841,2144337517.9785283,5439662.30815499,77,82,1778889092494
2056310,KRW-ZRO,1956.0,-0.0600672753,1781843433.4830604,898962.01015139,219,95,1778889092494
2056311,KRW-RAY,1105.0,-0.0579710145,447059466.0435322,400265.87773313,214,201,1778889092494
2056312,KRW-ONDO,540.0,-0.0592334495,27880403953.28256,49934198.53715356,217,14,1778889092494
2056313,KRW-ZRX,166.0,-0.0348837209,257056716.45959705,1534540.27487532,115,235,1778889092494
2056314,KRW-GMT,17.3,-0.079787234,605029936.5741776,34298617.9351065,250,177,1778889092494
2056315,KRW-TFUEL,16.7,-0.0346820809,254734461.9349555,15131520.96309828,114,236,1778889092494
2056316,KRW-CFG,405.0,-0.0334128878,3657985561.010854,8942538.87027284,109,56,1778889092494
2056317,KRW-AZTEC,31.4,-0.0872093023,7752940836.869868,222202588.31237957,254,26,1778889092494
2056318,KRW-XPL,133.0,-0.0699300699,5198597131.862129,38135767.45673243,239,40,1778889092494
2056319,KRW-ZAMA,40.5,0.0201511335,579144368.5267992,14761902.01604589,10,183,1778889092494
2056320,KRW-MASK,723.0,-0.04743083,349814315.4611796,474759.88059312,172,218,1778889092494
2056321,KRW-COMP,32870.0,-0.0266508736,287876442.2008788,8644.41483341,75,224,1778889092494
2056322,KRW-ZETA,78.7,-0.0518072289,1010297101.279805,12549836.04158414,190,132,1778889092494
2056323,KRW-RED,203.0,-0.028708134,911879041.2682518,4377508.490719,83,141,1778889092494
2056324,KRW-TIA,626.0,-0.0874635569,1459337138.155289,2202830.10006752,255,111,1778889092494
2056325,KRW-ADA,389.0,-0.0250626566,10695636940.699408,27251306.01419612,64,20,1778889092494
2056326,KRW-ELF,119.0,-0.0083333333,276520090.76728654,2324859.76234281,28,228,1778889092494
2056327,KRW-SOON,257.0,-0.0265151515,2009805546.596796,7840822.45554983,73,89,1778889092494
2056328,KRW-STEEM,85.9,-0.0126436782,632194897.57305,7335161.05578008,34,173,1778889092494
2056329,KRW-ELSA,100.0,-0.0566037736,1136989850.7639613,11181939.74357641,207,123,1778889092494
2056330,KRW-SPK,50.7,0.014,5474843928.8505745,109512818.30782522,14,38,1778889092494
2056331,KRW-SOPH,12.5,-0.0458015267,805104832.2966251,63178666.53300311,164,151,1778889092494
2056332,KRW-MED,3.14,-0.0278637771,359909780.5242075,113438163.7861146,80,215,1778889092494
2056333,KRW-1INCH,143.0,-0.0337837838,281429322.8736678,1951197.03642708,111,226,1778889092494
2056334,KRW-KAT,12.9,-0.0373134328,2166601512.119756,166630035.56500912,128,81,1778889092494
2056335,KRW-MEW,0.867,-0.0637149028,1697251432.7509434,1921600922.16916,226,99,1778889092494
2056336,KRW-ORBS,12.7,-0.0230769231,282930478.6501558,22211195.28457358,60,225,1778889092494
2056337,KRW-RENDER,2798.0,-0.0028510335,2580155508.8850117,932729.91610562,24,73,1778889092494
2056338,KRW-ORCA,2187.0,0.0195804196,3491089092.7763367,1633948.61478493,11,61,1778889092494
2056339,KRW-BERA,551.0,-0.0862354892,3874105114.7927504,6767626.27437637,253,53,1778889092494
2056340,KRW-SIGN,22.3,-0.05907173,4103841512.910632,180436381.8703508,216,52,1778889092494
2056341,KRW-VANA,2261.0,-0.0199393151,720073841.2171923,313699.36773492,52,162,1778889092494
2056342,KRW-DOT,1960.0,-0.0263288624,1090343056.7808821,549674.36199829,71,126,1778889092494
2056343,KRW-EDGE,153.0,-0.0129032258,841105708.6107067,5417600.80731354,35,149,1778889092494
2056344,KRW-MET2,230.0,-0.029535865,216395042.93324316,929352.35088204,86,242,1778889092494
2056345,KRW-MBL,1.4,-0.0277777778,1030845570.7916741,736493637.7929194,79,129,1778889092494
2056346,KRW-FLUID,2408.0,-0.062305296,595714326.5484738,232717.59655697,223,179,1778889092494
2056347,KRW-BIGTIME,19.5,-0.0441176471,678294891.9580206,34323039.77151942,154,167,1778889092494
2056348,KRW-SNT,14.9,-0.0197368421,453330137.43075377,30158384.0453012,51,199,1778889092494
2056349,KRW-SOL,132800.0,-0.02567865,31590866842.10469,234681.82064114,69,12,1778889092494
2056350,KRW-QKC,4.57,-0.0358649789,120589145.7549329,26286650.90339752,119,257,1778889092494
2056351,KRW-META,14.2,-0.0405405405,234969239.0468255,16306558.93543867,137,239,1778889092494
